,2022,2023,2024
358,DPZ UN Equity,CE UN Equity,TPL UN Equity
359,EG UN Equity,IEX UN Equity,DXC UN Equity
360,QCOM UW Equity,INVH UN Equity,JCI UN Equity
361,ZEN UN Equity,SIX UN Equity,KEY UN Equity
362,ADM UN Equity,DXC UN Equity,COLD UN Equity
363,CE UN Equity,JCI UN Equity,WHR UN Equity
364,IEX UN Equity,TPL UN Equity,AMGN UW Equity
365,FSLY UN Equity,KEY UN Equity,AON UN Equity
366,INVH UN Equity,COLD UN Equity,CTRA UN Equity
367,DXC UN Equity,WHR UN Equity,ICLR UW Equity
368,JCI UN Equity,AMGN UW Equity,LNG UA Equity
369,HLF UN Equity,AON UN Equity,MSM UN Equity
370,SIX UN Equity,CTRA UN Equity,FTNT UW Equity
371,TPL UN Equity,LNG UA Equity,PCAR UW Equity
372,KEY UN Equity,MSM UN Equity,LMT UN Equity
373,COLD UN Equity,PCAR UW Equity,BBWI UN Equity
374,WHR UN Equity,FTNT UW Equity,JNJ UN Equity
375,AMGN UW Equity,LMT UN Equity,GTM UW Equity
376,AON UN Equity,BBWI UN Equity,NTNX UW Equity
377,CTRA UN Equity,JNJ UN Equity,AL UN Equity
378,DCT UW Equity,GTM UW Equity,DKS UN Equity
379,LNG UA Equity,NTNX UW Equity,HBAN UW Equity
380,MSM UN Equity,AL UN Equity,MU UW Equity
381,FTNT UW Equity,DKS UN Equity,RRX UN Equity
382,PCAR UW Equity,HBAN UW Equity,LIN UW Equity
383,LMT UN Equity,MU UW Equity,NCNO UW Equity
384,BBWI UN Equity,RRX UN Equity,PWR UN Equity
385,JNJ UN Equity,NCNO UW Equity,CLH UN Equity
386,NTNX UW Equity,PWR UN Equity,DLR UN Equity
387,LMND UN Equity,CLH UN Equity,FWONA UW Equity
388,MNDT UW Equity,DLR UN Equity,U UN Equity
389,AL UN Equity,U UN Equity,NLY UN Equity
390,DKS UN Equity,SGFY UN Equity,MCD UN Equity
391,HBAN UW Equity,NLY UN Equity,AVT UW Equity
392,MU UW Equity,MCD UN Equity,HOLX UW Equity
393,RRX UN Equity,AVT UW Equity,NVDA UW Equity
394,PWR UN Equity,HOLX UW Equity,COLM UW Equity
395,CLH UN Equity,NVDA UW Equity,COST UW Equity
396,DLR UN Equity,COLM UW Equity,FAF UN Equity
397,U UN Equity,COST UW Equity,CSCO UW Equity
398,FTDR UW Equity,FAF UN Equity,LEA UN Equity
399,SGFY UN Equity,CSCO UW Equity,CMI UN Equity
400,NLY UN Equity,LEA UN Equity,NVT UN Equity
401,MCD UN Equity,CMI UN Equity,RNR UN Equity
402,AVT UW Equity,NVT UN Equity,RGEN UW Equity
403,HOLX UW Equity,RNR UN Equity,V UN Equity
404,NVDA UW Equity,RGEN UW Equity,WDC UW Equity
405,COLM UW Equity,V UN Equity,REYN UW Equity
406,COST UW Equity,WDC UW Equity,GAP UN Equity
407,FAF UN Equity,REYN UW Equity,CABO UN Equity
408,CSCO UW Equity,GAP UN Equity,MORN UW Equity
409,CHGG UN Equity,CABO UN Equity,CNXC UW Equity
410,CMI UN Equity,MORN UW Equity,HHH UN Equity
411,LEA UN Equity,CNXC UW Equity,MMM UN Equity
412,NVT UN Equity,HHH UN Equity,DGX UN Equity
413,RGEN UW Equity,MMM UN Equity,SNX UN Equity
414,RNR UN Equity,DGX UN Equity,BYD UN Equity
415,V UN Equity,SNX UN Equity,HEI UN Equity
416,WDC UW Equity,BYD UN Equity,TRU UN Equity
417,REYN UW Equity,HEI UN Equity,GWW UN Equity
418,GAP UN Equity,TRU UN Equity,COIN UW Equity
419,CABO UN Equity,GWW UN Equity,COR UN Equity
420,MORN UW Equity,COIN UW Equity,LCID UW Equity
421,CNXC UW Equity,COR UN Equity,DDOG UW Equity
422,HHH UN Equity,LCID UW Equity,MRK UN Equity
423,MMM UN Equity,DDOG UW Equity,CHH UN Equity
424,DGX UN Equity,SIVBQ UW Equity,CLF UN Equity
